candidate_id,rank,score,reasoning
CAND_0009837,55,0.7817,"Senior Data Scientist (4.3yr), Rephrase.ai; ML frameworks, LLM fine-tuning, retrieval/embeddings — some JD gaps; Noida."
CAND_0030827,56,0.7814,"senior data scientist (5.4 yrs) at Freshworks; strong on retrieval/embeddings, search/ranking, LLM fine-tuning but 120-day notice."
CAND_0093193,57,0.7773,"senior machine learning engineer (7.9 yrs) at Niramai; strong on retrieval/embeddings, ML frameworks, search/ranking but some JD gaps."
CAND_0054123,58,0.7760,"Applied ML Engineer with 4.7 yrs; Meta; retrieval/embeddings, LLM fine-tuning, ML frameworks; uses FAISS — but some JD gaps."
CAND_0094759,59,0.7723,"Lead AI Engineer (8.6yr), Meta; ML frameworks, retrieval/embeddings, LLM fine-tuning — last active 165d ago; Mumbai."
CAND_0068811,60,0.7695,"applied ml engineer at Freshworks (8.0yr); matched on retrieval/embeddings, ML frameworks, search/ranking; uses Pinecone — some JD gaps."
CAND_0078002,61,0.7686,"Machine Learning Engineer with 6.3 yrs; Meta; ML frameworks, LLM fine-tuning, search/ranking; built ranking — but some JD gaps."
CAND_0080766,62,0.7684,"Staff Machine Learning Engineer (8.8yr), Salesforce; ML frameworks, retrieval/embeddings, LLM fine-tuning — some JD gaps; Coimbatore."
CAND_0010257,63,0.7676,"6.5-yr senior data scientist at Google; surfaced for ML frameworks, retrieval/embeddings, search/ranking at Google, but 120-day notice."
CAND_0020350,64,0.7671,"ai engineer (5.8 yrs) at Zoho; strong on LLM fine-tuning, retrieval/embeddings, ML frameworks but some JD gaps."
CAND_0041610,65,0.7659,"6.7-yr recommendation systems engineer at Zoho; surfaced for retrieval/embeddings, ML frameworks, search/ranking at Zoho, but some JD gaps."
CAND_0010685,66,0.7649,"nlp engineer (6.7 yrs) at Rephrase.ai; strong on ML frameworks, retrieval/embeddings, LLM fine-tuning but last active 98d ago."
CAND_0072660,67,0.7633,"machine learning engineer at Unacademy (7.1yr); matched on ML frameworks, retrieval/embeddings, LLM fine-tuning; built ranking — some JD gaps."
CAND_0096142,68,0.7619,"5.0-yr applied ml engineer at upGrad; surfaced for retrieval/embeddings, ML frameworks, LLM fine-tuning at upGrad, but 120-day notice."
CAND_0070202,69,0.7615,"5.1-yr machine learning engineer at BYJU'S; surfaced for retrieval/embeddings, ML frameworks, LLM fine-tuning at BYJU'S, but 90-day notice."
CAND_0098846,70,0.7585,"ai engineer at upGrad (7.6yr); matched on search/ranking, ML frameworks, LLM fine-tuning; uses Pinecone — some JD gaps."
CAND_0044883,71,0.7574,"AI Engineer with 6.3 yrs; Mad Street Den; LLM fine-tuning, ML frameworks, retrieval/embeddings; uses FAISS — but 90-day notice."
CAND_0032515,72,0.7565,"Machine Learning Engineer with 5.1 yrs; PharmEasy; ML frameworks, retrieval/embeddings, LLM fine-tuning; built ranking — but some JD gaps."
CAND_0060054,73,0.7548,"AI Engineer (6.4yr), Mad Street Den; retrieval/embeddings, ML frameworks, LLM fine-tuning — last active 97d ago; Jaipur."
CAND_0055905,74,0.7540,"8.1-yr senior machine learning engineer at Flipkart; surfaced for retrieval/embeddings, LLM fine-tuning, ML frameworks at Flipkart, but some JD gaps."
CAND_0081852,75,0.7523,"Senior Data Scientist (5.9yr), Mad Street Den; retrieval/embeddings, search/ranking, LLM fine-tuning — some JD gaps; Delhi."
CAND_0065195,76,0.7508,"Fringe — Search Engineer at CRED (5.1yr); has retrieval/embeddings, LLM fine-tuning, ML frameworks but below JD bar."
CAND_0033861,77,0.7502,"Below bar — 8.0-yr senior nlp engineer; retrieval/embeddings, ML frameworks, search/ranking visible, but very low recruiter engagement."
CAND_0091909,78,0.7500,"Tail end — machine learning engineer, 6.9 yrs at Rephrase.ai; weak: below JD bar."
CAND_0092245,79,0.7500,"Tail end — senior data scientist, 4.1 yrs at Ola; weak: below JD bar."
CAND_0037980,80,0.7497,"Below bar — 9.0-yr senior applied scientist; 63% reply visible, but below JD bar."
CAND_0092255,81,0.7469,"Adjacent — ml engineer with 5.2 yrs; surfaced for retrieval/embeddings, ML frameworks, search/ranking but below JD bar."
CAND_0056881,82,0.7427,"Below bar — 4.5-yr machine learning engineer; retrieval/embeddings, ML frameworks, LLM fine-tuning visible, but 90-day notice."
CAND_0033445,83,0.7421,Fringe — ML Engineer at Vedantu (6.8yr); has 94% reply but below JD bar.
CAND_0008239,84,0.7416,"Adjacent — ai engineer with 4.0 yrs; surfaced for retrieval/embeddings, ML frameworks, LLM fine-tuning but below JD bar."
CAND_0001610,85,0.7400,"Tail end — machine learning engineer, 3.0 yrs at Dream11; weak: 90-day notice."
CAND_0051292,86,0.7398,"Below bar — 5.2-yr applied ml engineer; uses FAISS visible, but below JD bar."
CAND_0089552,87,0.7389,Adjacent — machine learning engineer with 6.0 yrs; surfaced for uses Pinecone but 120-day notice.
CAND_0007412,88,0.7357,"Tail end — applied ml engineer, 7.4 yrs at Zoho; weak: 120-day notice."
CAND_0011687,89,0.7344,"Below bar — 7.8-yr senior nlp engineer; uses Pinecone visible, but below JD bar."
CAND_0055992,90,0.7344,Adjacent — ai engineer with 16.9 yrs; surfaced for open to work but below JD bar.
CAND_0065878,91,0.7344,"Tail end — senior data scientist, 7.8 yrs at Niramai; weak: below JD bar."
CAND_0060072,92,0.7323,"staff machine learning engineer (5.7 yrs); included for retrieval/embeddings, ML frameworks, LLM fine-tuning despite very low recruiter engagement."
CAND_0013536,93,0.7318,"Below bar — 14.1-yr applied ml engineer; built ranking visible, but 90-day notice."
CAND_0075439,94,0.7290,Adjacent — machine learning engineer with 4.3 yrs; surfaced for uses Pinecone but below JD bar.
CAND_0028422,95,0.7289,Fringe — Junior ML Engineer at Yellow.ai (5.5yr); has 76% reply but 90-day notice.
CAND_0007009,96,0.7277,"Below bar — 7.9-yr recommendation systems engineer; 62% reply visible, but below JD bar."
CAND_0086022,97,0.7265,"Tail end — senior applied scientist, 5.3 yrs at Sarvam AI; weak: below JD bar."
CAND_0007411,98,0.7259,"Adjacent — senior machine learning engineer with 8.0 yrs; surfaced for retrieval/embeddings, ML frameworks, LLM fine-tuning but inactive (202d)."
CAND_0073504,99,0.7257,Fringe — Junior ML Engineer at PolicyBazaar (6.6yr); has 78% reply but below JD bar.
CAND_0015578,100,0.7251,"ai engineer (5.4 yrs); included for retrieval/embeddings, ML frameworks, LLM fine-tuning despite 90-day notice."
